URL,Suburb ,Postcode,Address,Latitude,Longitude,Bedroom,Bathroom ,Type ,Car Park space,Last sold date,Land size,Y = Sold price,primary_school,secondary_school,preschool,train_station,distance_to_cbd
property-house-vic-oakleigh-149006364,Oakleigh,3166,26 Heath Avenue,-37.901975,145.098955,3.0,2.0,house,2.0,2025-10-04,548.0,"$1,575,000",7.0,0.0,5.0,2.0,14760.413217329999
property-townhouse-vic-oakleigh-148854820,Oakleigh,3166,2/19 John Street,-37.90218079,145.1010231,4.0,2.0,townhouse,2.0,2025-09-26,252.0,"$1,200,000",6.0,0.0,7.0,2.0,14915.768866711483
property-house-vic-oakleigh-147639092,Oakleigh,3166,7A Caloola Avenue,-37.89048,145.090335,3.0,1.0,house,1.0,2025-09-21,696.0,"$1,360,000",7.0,0.0,1.0,4.0,13375.970581258318
property-house-vic-oakleigh-148727752,Oakleigh,3166,22 Heath Avenue,-37.901915,145.09857,5.0,3.0,house,2.0,2025-09-13,548.0,"$2,025,000",7.0,0.0,5.0,3.0,14730.03472818047
property-house-vic-oakleigh-148844776,Oakleigh,3166,23 Gadd Street,-37.909536,145.096702,4.0,2.0,house,2.0,2025-09-08,542.0,"$1,950,000",7.0,0.0,5.0,2.0,15158.83234468085
property-house-vic-oakleigh-148623884,Oakleigh,3166,110 Burlington Street,-37.903484,145.102545,5.0,5.0,house,4.0,2025-08-24,631.0,"$2,510,000",6.0,0.0,6.0,2.0,15110.68822322102
property-house-vic-oakleigh-148588964,Oakleigh,3166,2/172 Atherton Road,-37.9006704,145.1026339,3.0,2.0,house,2.0,2025-08-16,300.0,"$1,430,000",6.0,0.0,6.0,2.0,14922.101725244831
property-house-vic-oakleigh-148477976,Oakleigh,3166,33 William Street,-37.904071,145.102643,3.0,2.0,house,2.0,2025-08-02,435.0,"$1,305,000",6.0,0.0,6.0,2.0,15158.482714642638
property-house-vic-oakleigh-148362516,Oakleigh,3166,180 Atherton Road,-37.900816,145.103648,4.0,1.0,house,4.0,2025-07-26,696.0,"$1,500,000",6.0,0.0,6.0,2.0,15002.239609648488
property-house-vic-oakleigh-148297176,Oakleigh,3166,10 Ford Avenue,-37.907632,145.096592,4.0,3.0,house,4.0,2025-07-12,564.0,"$1,836,000",7.0,0.0,5.0,2.0,15010.32658982698
property-house-vic-oakleigh-147920956,Oakleigh,3166,23 John Street,-37.902494,145.100966,3.0,2.0,house,3.0,2025-06-30,558.0,"$1,550,000",6.0,0.0,6.0,2.0,14933.744539506362
property-house-vic-oakleigh-147963572,Oakleigh,3166,13 Abbeygate Street,-37.905352,145.089872,4.0,1.0,house,3.0,2025-05-31,573.0,"$1,480,000",6.0,0.0,4.0,4.0,14402.494695900841
property-house-vic-oakleigh-147360484,Oakleigh,3166,39 Edward Street,-37.905676,145.102682,5.0,2.0,house,4.0,2025-04-16,494.0,"$1,370,000",7.0,0.0,6.0,2.0,15274.374692796016
property-house-vic-oakleigh-147586456,Oakleigh,3166,10 Gillon Court,-37.892366,145.104934,3.0,1.0,house,1.0,2025-04-13,739.0,"$1,261,000",5.0,0.0,3.0,1.0,14537.531230406454
property-house-vic-oakleigh-147509300,Oakleigh,3166,28 Hatter Street,-37.906061,145.088056,3.0,2.0,house,2.0,2025-04-05,533.0,"$1,457,000",7.0,0.0,4.0,4.0,14338.937563816227
property-apartment-vic-oakleigh-147087520,Oakleigh,3166,115/6 Dalgety Street,-37.89199272,145.089514,2.0,2.0,apartment,1.0,2025-03-11,9635.0,"$535,500",8.0,0.0,1.0,4.0,13420.951967777602
property-unit-vic-oakleigh-147008652,Oakleigh,3166,45 Andrew Street,-37.909756,145.093637,3.0,2.0,unit,2.0,2025-02-28,307.0,"$1,260,000",7.0,0.0,4.0,2.0,14977.250887618946
property-house-vic-oakleigh-147115624,Oakleigh,3166,7 Abbeygate Street,-37.904947,145.08995,3.0,1.0,house,1.0,2025-02-22,534.0,"$1,520,000",6.0,0.0,4.0,4.0,14377.236111245698
property-house-vic-oakleigh-147051036,Oakleigh,3166,17 Downing Street,-37.900556,145.093646,3.0,2.0,house,1.0,2025-02-17,397.0,"$1,395,000",7.0,0.0,5.0,4.0,14300.822816927348
property-house-vic-oakleigh-146791128,Oakleigh,3166,12 Taylor Street,-37.895868,145.091868,4.0,2.0,house,4.0,2025-02-08,550.0,"$1,955,000",7.0,0.0,4.0,4.0,13849.90895895525
property-townhouse-vic-oakleigh-146994380,Oakleigh,3166,1/34 Golf Links Avenue,-37.90724296,145.0911324,4.0,2.0,townhouse,2.0,2025-02-07,329.0,"$1,368,888",7.0,0.0,4.0,4.0,14626.148699834459
property-house-vic-oakleigh-146683188,Oakleigh,3166,132 Warrigal Road,-37.906171,145.085915,2.0,1.0,house,4.0,2025-02-05,558.0,"$1,060,000",6.0,1.0,4.0,4.0,14210.700041884922
