URL,Suburb ,Postcode,Address,Latitude,Longitude,Bedroom,Bathroom ,Type ,Car Park space,Last sold date,Land size,Land size unit,Y = Sold price
property-townhouse-vic-reservoir-150614708,Reservoir,3073,3/68 Northernhay Street,-37.72423595,145.0082527,2,1,townhouse,1,2026-04-11,,,"$767,000"
property-unit-vic-reservoir-150693416,Reservoir,3073,2/41A Broadhurst Avenue,-37.70845225,145.0024483,2,1,unit,1,2026-04-11,,,"$668,000"
property-unit-vic-reservoir-150614288,Reservoir,3073,3/81 Rathcown Road,-37.70978329,145.0242379,2,1,unit,1,2026-04-11,198,m2,"$610,000"
property-unit-vic-reservoir-150559124,Reservoir,3073,3/963 High Street,-37.70915031,145.0086498,2,1,unit,1,2026-04-11,,,"$490,000"
property-unit-vic-reservoir-150612936,Reservoir,3073,3/20 O'connor Street,-37.71055278,145.0056534,2,1,unit,1,2026-04-11,,,"$470,000"
property-townhouse-vic-reservoir-150675032,Reservoir,3073,1/37 O'Connor Street,-37.710406,145.0013255,2,1,townhouse,1,2026-04-09,,,"$800,000"
property-unit-vic-reservoir-150365404,Reservoir,3073,8 Reservoir Street,-37.7218137,145.0032991,2,1,unit,1,2026-04-09,,,"$625,000"
property-unit-vic-reservoir-150620876,Reservoir,3073,3/80c Rathcown Road,-37.70947308,145.024104,2,1,unit,2,2026-04-08,,,"$620,000"
property-house-vic-reservoir-150102708,Reservoir,3073,1 Jenkin Street,-37.72194253,144.9879894,2,1,house,1,2026-04-07,327,m2,"$670,000"
property-unit-vic-reservoir-150175432,Reservoir,3073,1/15 Evans Crescent,-37.71490721,145.0206423,3,1,unit,1,2026-04-07,,,"$590,000"
property-house-vic-reservoir-150478708,Reservoir,3073,20 Daventry Street,-37.714141,145.001588,2,1,house,1,2026-04-02,613,m2,"$952,000"
property-villa-vic-reservoir-150569676,Reservoir,3073,1/17 Olive Street,-37.7181415,145.0038199,2,1,villa,1,2026-04-02,,,"$722,000"
property-unit-vic-reservoir-150303444,Reservoir,3073,4/34 Barton Street,-37.71140824,145.0033091,2,1,unit,1,2026-04-02,118,m2,"$530,000"
property-house-vic-reservoir-150553152,Reservoir,3073,73 Burbank Drive,-37.69895,145.027505,3,1,house,4,2026-04-01,585,m2,"$1,027,000"
property-unit-vic-reservoir-150315372,Reservoir,3073,604 Gilbert Road,-37.7258357,144.9923567,3,1,unit,1,2026-04-01,,,"$770,000"
property-townhouse-vic-reservoir-150422988,Reservoir,3073,2/54 Chaleyer Street,-37.72741161,145.0220364,2,1,townhouse,1,2026-04-01,,,"$665,000"
property-house-vic-reservoir-150451628,Reservoir,3073,53 Newton Street,-37.731295,145.022652,5,2,house,3,2026-03-28,508,m2,"$1,050,000"
property-house-vic-reservoir-150485576,Reservoir,3073,1/37 Shand Road,-37.72082752,145.0196812,3,1,house,3,2026-03-28,,,"$809,500"
