URL,primary_school,secondary_school,preschool,train_station
property-house-vic-oakleigh-121760986,7.0,0.0,4.0,2.0
property-house-vic-oakleigh-121967654,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-121996762,7.0,1.0,4.0,4.0
property-house-vic-oakleigh-122146478,7.0,0.0,4.0,3.0
property-house-vic-oakleigh-122186562,8.0,0.0,6.0,2.0
property-house-vic-oakleigh-122253966,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-122300734,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-122304466,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-122572906,7.0,0.0,5.0,2.0
property-house-vic-oakleigh-122572918,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-122597590,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-122730738,7.0,0.0,1.0,5.0
property-house-vic-oakleigh-122762766,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-122768326,6.0,0.0,5.0,2.0
property-house-vic-oakleigh-122774094,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-123026822,6.0,0.0,5.0,2.0
property-house-vic-oakleigh-123060326,7.0,0.0,5.0,2.0
property-house-vic-oakleigh-123255450,7.0,0.0,4.0,4.0
property-house-vic-oakleigh-123337766,7.0,0.0,6.0,2.0
property-house-vic-oakleigh-123386834,7.0,0.0,5.0,3.0
property-house-vic-oakleigh-123428202,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-123521182,6.0,0.0,5.0,4.0
property-house-vic-oakleigh-123535406,6.0,0.0,5.0,2.0
property-house-vic-oakleigh-123588074,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-123729538,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-123815514,7.0,0.0,3.0,4.0
property-house-vic-oakleigh-123819454,8.0,0.0,4.0,2.0
property-house-vic-oakleigh-123882158,7.0,0.0,6.0,3.0
property-house-vic-oakleigh-123907058,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-124426630,5.0,0.0,3.0,1.0
property-house-vic-oakleigh-124454282,5.0,0.0,3.0,2.0
property-house-vic-oakleigh-124549062,7.0,0.0,6.0,2.0
property-house-vic-oakleigh-124585874,7.0,0.0,5.0,3.0
property-house-vic-oakleigh-124750202,6.0,0.0,5.0,2.0
property-house-vic-oakleigh-124811494,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-124903566,7.0,0.0,4.0,2.0
property-house-vic-oakleigh-124913866,7.0,0.0,7.0,2.0
property-house-vic-oakleigh-125032110,6.0,0.0,5.0,2.0
property-house-vic-oakleigh-125070154,7.0,0.0,6.0,3.0
property-house-vic-oakleigh-125113490,7.0,0.0,1.0,4.0
property-house-vic-oakleigh-125118934,6.0,0.0,1.0,4.0
property-house-vic-oakleigh-125235758,7.0,0.0,5.0,2.0
property-house-vic-oakleigh-125331322,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-125366770,7.0,1.0,4.0,4.0
property-house-vic-oakleigh-125567586,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-125640866,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-125720046,6.0,0.0,5.0,2.0
property-house-vic-oakleigh-125728486,7.0,0.0,4.0,2.0
