URL,Suburb ,Postcode,Address,Latitude,Longitude,Bedroom,Bathroom ,Type ,Car Park space,Last sold date,Land size,Y = Sold price
property-house-vic-oakleigh-150785740,Oakleigh,3166,1 Bishop Street,-37.905174,145.093334,2.0,1.0,house,3.0,2026-05-02,495.0,"$1,280,000"
property-house-vic-oakleigh-150712212,Oakleigh,3166,170 Atherton Road,-37.900633,145.102345,3.0,2.0,house,2.0,2026-04-18,466.0,"$1,155,500"
property-unit-vic-oakleigh-150649632,Oakleigh,3166,1/119 Burlington Street,-37.90325,145.103349,3.0,1.0,unit,2.0,2026-04-18,285.0,"$872,500"
property-house-vic-oakleigh-150703704,Oakleigh,3166,33 Tamar Grove,-37.898402,145.096431,3.0,2.0,house,1.0,2026-04-08,539.0,"$1,800,000"
property-house-vic-oakleigh-150511528,Oakleigh,3166,191 Huntingdale Road,-37.901866,145.105043,3.0,2.0,house,3.0,2026-03-28,544.0,"$1,245,000"
property-house-vic-oakleigh-150408448,Oakleigh,3166,2 Norfolk Avenue,-37.898842,145.100821,3.0,2.0,house,3.0,2026-03-23,352.0,"$1,292,500"
property-house-vic-oakleigh-150388028,Oakleigh,3166,5 Saxon Court,-37.8934539,145.1042014,5.0,3.0,house,4.0,2026-03-21,875.0,"$1,967,500"
property-unit-vic-oakleigh-150488064,Oakleigh,3166,2/22 Palmerston Grove,-37.897121,145.091596,2.0,1.0,unit,1.0,2026-03-18,250.0,"$930,000"
property-house-vic-oakleigh-150352064,Oakleigh,3166,21 Hatter Street,-37.905686,145.087702,3.0,1.0,house,2.0,2026-03-14,506.0,"$1,525,000"
property-house-vic-oakleigh-150256844,Oakleigh,3166,112 Burlington Street,-37.903514,145.102737,3.0,1.0,house,1.0,2026-03-14,666.0,"$1,300,000"
property-townhouse-vic-oakleigh-150213492,Oakleigh,3166,2/41 Andrew Street,-37.90951179,145.0936862,4.0,2.0,townhouse,2.0,2026-02-28,241.0,"$1,310,000"
property-house-vic-oakleigh-150069040,Oakleigh,3166,44 Haughton Road,-37.90402575,145.0924121,5.0,2.0,house,2.0,2026-02-28,357.0,"$1,250,000"
property-house-vic-oakleigh-150115688,Oakleigh,3166,96 Burlington Street,-37.903275,145.100787,2.0,1.0,house,4.0,2026-02-21,669.0,"$1,353,000"
property-townhouse-vic-oakleigh-150071136,Oakleigh,3166,1/7 Holland Court,-37.90075905,145.0968711,2.0,2.0,townhouse,1.0,2026-02-21,240.0,"$1,125,000"
property-unit-vic-oakleigh-150030256,Oakleigh,3166,1/3 Tamar Grove,-37.89652601,145.0968512,3.0,1.0,unit,2.0,2026-02-19,273.0,"$1,160,000"
property-house-vic-oakleigh-149765764,Oakleigh,3166,140 Atherton Road,-37.900235,145.099478,4.0,3.0,house,2.0,2025-12-20,628.0,"$1,571,000"
property-house-vic-oakleigh-149753276,Oakleigh,3166,23 George Street,-37.902609,145.101942,3.0,2.0,house,2.0,2025-12-20,544.0,"$1,475,000"
property-house-vic-oakleigh-149160636,Oakleigh,3166,112 Warrigal Road,-37.904796,145.086178,4.0,1.0,house,2.0,2025-12-15,489.0,"$890,000"
property-house-vic-oakleigh-149455824,Oakleigh,3166,20 Eastgate Street,-37.905674,145.08917,3.0,1.0,house,1.0,2025-11-25,534.0,"$1,450,000"
property-apartment-vic-oakleigh-147442888,Oakleigh,3166,5/83-85 Drummond Street,-37.89241813,145.0906601,2.0,1.0,apartment,1.0,2025-11-19,73.0,"$460,000"
property-unit-vic-oakleigh-149403384,Oakleigh,3166,1149A North Road,-37.909732,145.088367,2.0,1.0,unit,2.0,2025-11-15,262.0,"$730,000"
property-house-vic-oakleigh-149366956,Oakleigh,3166,38 Tamar Grove,-37.898938,145.096736,2.0,1.0,house,4.0,2025-11-11,540.0,"$1,220,000"
property-house-vic-oakleigh-149335132,Oakleigh,3166,22 Gadd Street,-37.909685,145.097039,4.0,2.0,house,4.0,2025-11-09,700.0,"$1,581,000"
property-house-vic-oakleigh-148747072,Oakleigh,3166,23 Clyde Street,-37.897431,145.095478,8.0,3.0,house,3.0,2025-11-08,638.0,"$1,880,000"
property-townhouse-vic-oakleigh-149224160,Oakleigh,3166,4/110 Atherton Road,-37.89981539,145.0963986,2.0,1.0,townhouse,1.0,2025-10-30,1219.0,"$597,000"
property-house-vic-oakleigh-149173060,Oakleigh,3166,31a Clyde Street,-37.898437,145.095248,3.0,1.0,house,3.0,2025-10-25,487.0,"$1,510,000"
property-house-vic-oakleigh-148132628,Oakleigh,3166,19 Winifred Street,-37.895868,145.101933,5.0,3.0,house,3.0,2025-10-18,697.0,"$1,410,000"
property-unit-vic-oakleigh-149256788,Oakleigh,3166,1/36 Heath Avenue,-37.902356,145.099786,2.0,1.0,unit,2.0,2025-10-14,178.0,"$890,000"
property-townhouse-vic-oakleigh-149097260,Oakleigh,3166,1/1151 North Road,-37.90975384,145.0885341,4.0,3.0,townhouse,2.0,2025-10-08,287.0,"$1,156,000"
property-house-vic-oakleigh-149006364,Oakleigh,3166,26 Heath Avenue,-37.901975,145.098955,3.0,2.0,house,2.0,2025-10-04,548.0,"$1,575,000"
property-townhouse-vic-oakleigh-148854820,Oakleigh,3166,2/19 John Street,-37.90218079,145.1010231,4.0,2.0,townhouse,2.0,2025-09-26,252.0,"$1,200,000"
property-house-vic-oakleigh-147639092,Oakleigh,3166,7A Caloola Avenue,-37.89048,145.090335,3.0,1.0,house,1.0,2025-09-21,696.0,"$1,360,000"
property-house-vic-oakleigh-148727752,Oakleigh,3166,22 Heath Avenue,-37.901915,145.09857,5.0,3.0,house,2.0,2025-09-13,548.0,"$2,025,000"
property-house-vic-oakleigh-148844776,Oakleigh,3166,23 Gadd Street,-37.909536,145.096702,4.0,2.0,house,2.0,2025-09-08,542.0,"$1,950,000"
property-house-vic-oakleigh-148623884,Oakleigh,3166,110 Burlington Street,-37.903484,145.102545,5.0,5.0,house,4.0,2025-08-24,631.0,"$2,510,000"
property-house-vic-oakleigh-148588964,Oakleigh,3166,2/172 Atherton Road,-37.9006704,145.1026339,3.0,2.0,house,2.0,2025-08-16,300.0,"$1,430,000"
property-house-vic-oakleigh-148477976,Oakleigh,3166,33 William Street,-37.904071,145.102643,3.0,2.0,house,2.0,2025-08-02,435.0,"$1,305,000"
property-house-vic-oakleigh-148362516,Oakleigh,3166,180 Atherton Road,-37.900816,145.103648,4.0,1.0,house,4.0,2025-07-26,696.0,"$1,500,000"
property-house-vic-oakleigh-148297176,Oakleigh,3166,10 Ford Avenue,-37.907632,145.096592,4.0,3.0,house,4.0,2025-07-12,564.0,"$1,836,000"
property-house-vic-oakleigh-147920956,Oakleigh,3166,23 John Street,-37.902494,145.100966,3.0,2.0,house,3.0,2025-06-30,558.0,"$1,550,000"
property-house-vic-oakleigh-147963572,Oakleigh,3166,13 Abbeygate Street,-37.905352,145.089872,4.0,1.0,house,3.0,2025-05-31,573.0,"$1,480,000"
property-house-vic-oakleigh-147360484,Oakleigh,3166,39 Edward Street,-37.905676,145.102682,5.0,2.0,house,4.0,2025-04-16,494.0,"$1,370,000"
property-house-vic-oakleigh-147586456,Oakleigh,3166,10 Gillon Court,-37.892366,145.104934,3.0,1.0,house,1.0,2025-04-13,739.0,"$1,261,000"
property-house-vic-oakleigh-147509300,Oakleigh,3166,28 Hatter Street,-37.906061,145.088056,3.0,2.0,house,2.0,2025-04-05,533.0,"$1,457,000"
property-apartment-vic-oakleigh-147087520,Oakleigh,3166,115/6 Dalgety Street,-37.89199272,145.089514,2.0,2.0,apartment,1.0,2025-03-11,9635.0,"$535,500"
property-unit-vic-oakleigh-147008652,Oakleigh,3166,45 Andrew Street,-37.909756,145.093637,3.0,2.0,unit,2.0,2025-02-28,307.0,"$1,260,000"
property-house-vic-oakleigh-147115624,Oakleigh,3166,7 Abbeygate Street,-37.904947,145.08995,3.0,1.0,house,1.0,2025-02-22,534.0,"$1,520,000"
property-house-vic-oakleigh-147051036,Oakleigh,3166,17 Downing Street,-37.900556,145.093646,3.0,2.0,house,1.0,2025-02-17,397.0,"$1,395,000"
property-house-vic-oakleigh-146791128,Oakleigh,3166,12 Taylor Street,-37.895868,145.091868,4.0,2.0,house,4.0,2025-02-08,550.0,"$1,955,000"
property-townhouse-vic-oakleigh-146994380,Oakleigh,3166,1/34 Golf Links Avenue,-37.90724296,145.0911324,4.0,2.0,townhouse,2.0,2025-02-07,329.0,"$1,368,888"
