URL,Suburb ,Postcode,Address,Latitude,Longitude,Bedroom,Bathroom ,Type ,Car Park space,Last sold date,Land size,Y = Sold price
property-house-vic-reservoir-146213984,Reservoir,3073,50 Lloyd Avenue,-37.697946,145.015974,3.0,1.0,house,2.0,2024-10-23,604.0,"$889,000"
property-unit-vic-reservoir-146121700,Reservoir,3073,5/206 Spring Street,-37.72107458,145.003588,3.0,1.0,unit,1.0,2024-10-23,204.0,"$595,000"
property-house-vic-reservoir-146099108,Reservoir,3073,18 Ayr Street,-37.70622025,145.0331392,5.0,2.0,house,2.0,2024-10-19,901.0,"$1,053,500"
property-house-vic-reservoir-146221892,Reservoir,3073,1001 High Street,-37.704623,145.009512,3.0,1.0,house,6.0,2024-10-19,988.0,"$945,000"
property-house-vic-reservoir-146086984,Reservoir,3073,2/12 Ayr Street,-37.706477,145.0325562,4.0,1.0,house,2.0,2024-10-19,544.0,"$925,000"
property-house-vic-reservoir-146121204,Reservoir,3073,22 Callander Street,-37.694836,144.993567,3.0,1.0,house,6.0,2024-10-19,786.0,"$880,000"
property-house-vic-reservoir-144335124,Reservoir,3073,716 Gilbert Road,-37.718969,144.993506,4.0,1.0,house,8.0,2024-10-19,626.0,"$843,000"
property-house-vic-reservoir-146145888,Reservoir,3073,22 Winter Crescent,-37.719001,145.027982,3.0,1.0,house,2.0,2024-10-19,684.0,"$812,000"
property-house-vic-reservoir-145989704,Reservoir,3073,2 Elizabeth Court,-37.699381,145.021448,3.0,1.0,house,3.0,2024-10-16,528.0,"$720,000"
property-unit-vic-reservoir-146166404,Reservoir,3073,3/81 St Vigeons Road,-37.70642506,145.0221662,2.0,1.0,unit,1.0,2024-10-16,199.0,"$681,000"
property-house-vic-reservoir-144847304,Reservoir,3073,169 Cheddar Road,-37.69641,145.021629,3.0,1.0,house,2.0,2024-10-15,522.0,"$516,000"
property-house-vic-reservoir-146001884,Reservoir,3073,25 Darebin Boulevard,-37.703554,145.022562,3.0,2.0,house,5.0,2024-10-12,836.0,"$1,060,000"
