URL,Suburb ,Postcode,Address,Latitude,Longitude,Bedroom,Bathroom ,Type ,Car Park space,Last sold date,Land size,Land size unit,Y = Sold price
property-unit-vic-thornbury-148665524,Thornbury,3071,2/59 Keon Street,-37.7522636,144.9896954,1,1,unit,1,2025-08-15,,,"$582,000"
property-townhouse-vic-thornbury-148702364,Thornbury,3071,4/14 Pender Street,-37.75385301,145.0028646,3,2,townhouse,2,2025-08-14,,,"$1,240,000"
property-house-vic-thornbury-148480912,Thornbury,3071,273 Victoria Road,-37.763167,145.012325,2,1,house,2,2025-08-13,352,m2,"$901,000"
property-unit-vic-thornbury-148584028,Thornbury,3071,3/21-23 Martin Street,-37.76054055,145.0026739,2,1,unit,1,2025-08-13,,,"$590,000"
property-apartment-vic-thornbury-148471780,Thornbury,3071,8/62  Normanby Avenue,-37.758778,144.994748,1,1,apartment,1,2025-08-13,,,"$455,000"
property-townhouse-vic-thornbury-148576524,Thornbury,3071,6 Ibis Place,-37.7610566,145.0262321,2,1,townhouse,1,2025-08-10,,,"$695,000"
property-townhouse-vic-thornbury-148425296,Thornbury,3071,163A Collins Street,-37.755841,145.018253,4,3,townhouse,2,2025-08-08,275,m2,"$1,870,000"
property-townhouse-vic-thornbury-148396728,Thornbury,3071,4 Aviary Grove,-37.76130133,145.0259587,2,2,townhouse,1,2025-08-08,65,m2,"$612,000"
property-house-vic-thornbury-148376692,Thornbury,3071,314B Rossmoyne Street,-37.759659,145.022885,4,3,house,2,2025-08-07,,,"$1,775,000"
property-apartment-vic-thornbury-148689388,Thornbury,3071,1/14 Mansfield Street,-37.75669179,145.0022994,2,1,apartment,1,2025-08-05,,,"$710,000"
property-townhouse-vic-thornbury-147855536,Thornbury,3071,3/180 Dundas Street,-37.754445,145.019346,3,2,townhouse,4,2025-08-04,,,"$1,240,000"
property-house-vic-thornbury-148194660,Thornbury,3071,206 Clarendon Street,-37.76157085,145.0180441,3,2,house,2,2025-08-04,,,"$1,100,000"
property-house-vic-thornbury-148444188,Thornbury,3071,124 Smith Street,-37.756538,144.990743,2,1,house,1,2025-08-04,360,m2,"$1,054,000"
property-apartment-vic-thornbury-147811852,Thornbury,3071,4/13 Harold Street,-37.75692405,144.9993729,1,1,apartment,1,2025-08-04,,,"$372,000"
property-house-vic-thornbury-148275108,Thornbury,3071,10 Hobson Street,-37.75467,144.992224,3,1,house,2,2025-08-02,453,m2,"$1,520,000"
property-apartment-vic-thornbury-147970188,Thornbury,3071,3/106 Keon Street,-37.75167606,144.9868745,1,1,apartment,1,2025-08-01,,,"$315,000"
property-apartment-vic-thornbury-148588384,Thornbury,3071,1/99 Ballantyne Street,-37.75785431,144.9923537,1,1,apartment,,2025-07-30,,,"$418,500"
property-apartment-vic-thornbury-148248544,Thornbury,3071,13/115 Shaftesbury Parade,-37.75961374,144.9907621,1,1,apartment,1,2025-07-30,,,"$330,000"
property-house-vic-thornbury-148481736,Thornbury,3071,13 Alexandra Street,-37.763051,145.006527,3,1,house,,2025-07-23,,,"$1,711,000"
property-apartment-vic-thornbury-147982192,Thornbury,3071,14/42-44 Clarendon Street,-37.76001565,145.0033671,3,1,apartment,1,2025-07-23,1755,m2,"$950,000"
property-apartment-vic-thornbury-148267364,Thornbury,3071,1/360 St Georges Road,-37.758087,144.993879,2,1,apartment,1,2025-07-23,,,"$520,000"
property-apartment-vic-thornbury-148483772,Thornbury,3071,4/99 Ballantyne Street,-37.75785431,144.9923537,1,1,apartment,1,2025-07-21,,,"$415,000"
property-house-vic-thornbury-148385244,Thornbury,3071,9 Alston Street,-37.754974,145.017572,3,2,house,3,2025-07-19,,,"$1,755,000"
property-apartment-vic-thornbury-146744064,Thornbury,3071,302/685 High Street,-37.7602423,145.0001127,2,2,apartment,1,2025-07-18,,,"$600,000"
property-apartment-vic-thornbury-148328504,Thornbury,3071,4/101 Smith Street,-37.75690991,144.9918476,2,1,apartment,1,2025-07-18,,,"$550,000"
property-townhouse-vic-thornbury-148318120,Thornbury,3071,2/98 Normanby Avenue,-37.75839079,144.9909811,2,2,townhouse,1,2025-07-16,,,"$765,000"
property-house-vic-thornbury-148321120,Thornbury,3071,34A  Clyde Street,-37.761576,145.010348,3,1,house,5,2025-07-12,,,"$1,250,000"
property-house-vic-thornbury-148019752,Thornbury,3071,25 Wales Street,-37.763736,145.008666,3,2,house,1,2025-07-11,,,"$1,850,000"
property-apartment-vic-thornbury-148397844,Thornbury,3071,92/337 Station Street,-37.763439,145.020961,3,2,apartment,2,2025-07-11,,,"$830,000"
property-apartment-vic-thornbury-148329700,Thornbury,3071,8/100 Collins Street,-37.75577641,145.0114142,1,1,apartment,1,2025-07-11,,,"$401,300"
property-house-vic-thornbury-148097472,Thornbury,3071,156A Mansfield Street,-37.75774282,145.0122533,3,2,house,2,2025-07-09,,,"$1,461,000"
property-house-vic-thornbury-147362956,Thornbury,3071,204A Raleigh Street,-37.76038922,145.0144769,4,3,house,2,2025-07-07,,,"$2,010,000"
property-townhouse-vic-thornbury-148251120,Thornbury,3071,2/56 Dundas Street,-37.75308684,145.0071569,3,1,townhouse,1,2025-07-04,,,"$910,000"
property-apartment-vic-thornbury-148218816,Thornbury,3071,6/99 Ballantyne Street,-37.75785431,144.9923537,1,1,apartment,1,2025-07-02,,,"$411,500"
property-house-vic-thornbury-148300360,Thornbury,3071,177 Miller Street,-37.751008,144.986194,2,1,house,1,2025-07-01,,,"$1,170,000"
property-townhouse-vic-thornbury-148209976,Thornbury,3071,3/59 Miller Street,-37.75159316,144.9918712,2,2,townhouse,1,2025-06-28,,,"$900,000"
property-house-vic-thornbury-148271088,Thornbury,3071,403/679 High Street,-37.7602423,145.0001127,2,2,house,2,2025-06-27,,,"$841,000"
property-apartment-vic-thornbury-148030960,Thornbury,3071,109/23-25 Clapham Street,-37.75527914,144.9978433,1,1,apartment,1,2025-06-26,,,"$480,000"
property-house-vic-thornbury-148194272,Thornbury,3071,20 Newman Street,-37.75670552,144.9867468,3,1,house,3,2025-06-21,,,"$1,415,000"
property-apartment-vic-thornbury-148162920,Thornbury,3071,10/4 Dundas Street,-37.75255095,145.00251,1,1,apartment,1,2025-06-18,,,"$370,000"
property-apartment-vic-thornbury-148211356,Thornbury,3071,9/107 Flinders Street,-37.75650571,145.0110514,2,1,apartment,1,2025-06-14,,,"$630,000"
property-apartment-vic-thornbury-148085016,Thornbury,3071,5/295 Rossmoyne Street,-37.75913799,145.0207915,1,1,apartment,1,2025-06-14,,,"$411,000"
property-house-vic-thornbury-147895748,Thornbury,3071,11A Smith Street,-37.75774,144.998894,3,1,house,4,2025-06-13,416,m2,"$1,420,000"
property-apartment-vic-thornbury-148076660,Thornbury,3071,1/37 Collins Street,-37.75488997,145.0039448,2,1,apartment,1,2025-06-12,,,"$826,000"
property-apartment-vic-thornbury-148091000,Thornbury,3071,8/50 Normanby Avenue,-37.758852,144.995425,1,1,apartment,1,2025-06-07,,,"$315,000"
property-house-vic-thornbury-147960428,Thornbury,3071,9 Walsh Avenue,-37.757651,145.023417,3,1,house,2,2025-06-06,265,m2,"$1,063,000"
property-house-vic-thornbury-147738216,Thornbury,3071,169 Clarendon Street,-37.760573,145.011316,3,2,house,2,2025-06-03,700,m2,"$1,880,000"
property-house-vic-thornbury-147965968,Thornbury,3071,82B Collins Street,-37.755513,145.009044,3,2,house,2,2025-06-02,304,m2,"$1,515,000"
property-house-vic-thornbury-147800304,Thornbury,3071,11 Harold Street,-37.756931,144.999529,3,1,house,1,2025-05-31,406,m2,"$1,860,000"
property-townhouse-vic-thornbury-147849724,Thornbury,3071,6/4 Strettle Street,-37.7548845,144.9824562,3,2,townhouse,1,2025-05-31,207,m2,"$1,350,000"
property-house-vic-thornbury-147981556,Thornbury,3071,14 Martin Street,-37.76115555,145.0014231,2,1,house,2,2025-05-31,395,m2,"$1,276,000"
property-townhouse-vic-thornbury-147963472,Thornbury,3071,1C Alston Street,-37.75480882,145.0164298,3,2,townhouse,2,2025-05-31,,,"$1,050,000"
property-house-vic-thornbury-148084980,Thornbury,3071,148 Ballantyne Street,-37.75714574,144.9883668,3,1,house,4,2025-05-31,515,m2,"$1,040,000"
property-house-vic-thornbury-147704764,Thornbury,3071,12 Blythe Street,-37.75394,145.000143,3,1,house,3,2025-05-28,426,m2,"$1,270,000"
property-house-vic-thornbury-147889312,Thornbury,3071,195 Gooch Street,-37.7593232,145.0149513,3,2,house,2,2025-05-24,,,"$1,400,000"
property-apartment-vic-thornbury-147890088,Thornbury,3071,1/86 Flinders Street,-37.756312,145.006629,2,1,apartment,1,2025-05-24,,,"$560,000"
property-house-vic-thornbury-147959604,Thornbury,3071,125 Flinders Street,-37.756777,145.01337,3,1,house,2,2025-05-23,470,m2,"$1,380,000"
property-house-vic-thornbury-147437772,Thornbury,3071,345 Rossmoyne Street,-37.759594,145.024918,2,1,house,2,2025-05-23,,,"$1,020,000"
property-apartment-vic-thornbury-148028816,Thornbury,3071,7/18 Blythe Street,-37.75386,144.999671,1,1,apartment,1,2025-05-22,,,"$447,500"
property-house-vic-thornbury-147889920,Thornbury,3071,5 Strettle Street,-37.755189,144.983038,3,1,house,4,2025-05-21,600,m2,"$1,600,000"
property-unit-vic-thornbury-147835212,Thornbury,3071,9/6 Francis Grove,-37.7633825,145.0077996,1,1,unit,,2025-05-21,,,"$335,000"
property-house-vic-thornbury-147844624,Thornbury,3071,299 Raleigh Street,-37.76095,145.022487,4,2,house,3,2025-05-17,470,m2,"$1,505,000"
property-house-vic-thornbury-147854240,Thornbury,3071,265 Raleigh Street,-37.76048,145.018107,3,1,house,3,2025-05-17,430,m2,"$1,400,000"
property-house-vic-thornbury-147832656,Thornbury,3071,76 Mansfield Street,-37.757112,145.006505,3,1,house,,2025-05-17,,,"$1,320,000"
property-townhouse-vic-thornbury-147849900,Thornbury,3071,2/42 Pender Street,-37.75414034,145.0054634,2,3,townhouse,1,2025-05-17,,,"$900,000"
property-townhouse-vic-thornbury-147840412,Thornbury,3071,1/124 Normanby Avenue,-37.75816688,144.9890425,2,1,townhouse,1,2025-05-17,,,"$820,000"
property-house-vic-thornbury-147967524,Thornbury,3071,300 Gillies Street,-37.765066,145.019108,3,1,house,1,2025-05-14,601,m2,"$1,485,000"
property-unit-vic-thornbury-147880876,Thornbury,3071,6/45 Woolton Avenue,-37.76105,144.99532,1,1,unit,1,2025-05-14,,,"$350,000"
property-apartment-vic-thornbury-147599416,Thornbury,3071,9/274 Mansfield Street,-37.75879686,145.0221823,1,1,apartment,1,2025-05-14,,,"$315,000"
property-apartment-vic-thornbury-147818616,Thornbury,3071,12/87A Clyde Street,-37.7615482,145.0130504,1,1,apartment,1,2025-05-13,,,"$380,000"
property-unit-vic-thornbury-147477964,Thornbury,3071,9/56 Pender Street,-37.754464,145.00947,1,1,unit,1,2025-05-12,1048,m2,"$375,000"
property-house-vic-thornbury-147769956,Thornbury,3071,138 Gooch Street,-37.759069,145.00979,3,1,house,2,2025-05-10,374,m2,"$1,235,000"
property-apartment-vic-thornbury-147778008,Thornbury,3071,5/24 Dundas Street,-37.75267765,145.0036245,2,1,apartment,1,2025-05-02,,,"$785,000"
property-house-vic-thornbury-147431092,Thornbury,3071,19B Newman Street,-37.75700462,144.9868883,3,2,house,1,2025-04-29,,,"$1,100,000"
property-house-vic-thornbury-147485928,Thornbury,3071,177 Gooch Street,-37.759068,145.012378,3,1,house,1,2025-04-24,,,"$1,500,000"
property-unit-vic-thornbury-147152660,Thornbury,3071,2/40 Clarendon Street,-37.759973,145.003046,1,1,unit,1,2025-04-24,,,"$390,000"
property-apartment-vic-thornbury-147620868,Thornbury,3071,15/72 Dundas Street,-37.75332586,145.0091947,1,1,apartment,,2025-04-24,,,"$280,000"
property-house-vic-thornbury-147686052,Thornbury,3071,291 Gooch Street,-37.760353,145.024467,4,2,house,3,2025-04-18,,,"$1,410,000"
property-apartment-vic-thornbury-147560444,Thornbury,3071,2/79 Normanby Avenue,-37.75881775,144.9921989,2,1,apartment,1,2025-04-17,,,"$649,000"
property-apartment-vic-thornbury-147560812,Thornbury,3071,8/30 Kemp Street,-37.76180113,144.9941468,1,1,apartment,1,2025-04-15,,,"$415,990"
property-house-vic-thornbury-147575396,Thornbury,3071,76 Harold Street,-37.75620417,144.9955223,4,2,house,1,2025-04-14,480,m2,"$1,570,000"
property-house-vic-thornbury-147310312,Thornbury,3071,197 Smith Street,-37.756188,144.985554,2,1,house,,2025-04-14,,,"$975,000"
property-house-vic-thornbury-147559408,Thornbury,3071,119a Smith Street,-37.75683599,144.991013,5,4,house,2,2025-04-12,,,"$1,661,000"
property-house-vic-thornbury-147572144,Thornbury,3071,31c Swift Street,-37.76451174,145.0169322,3,2,house,2,2025-04-12,,,"$1,500,000"
property-apartment-vic-thornbury-147545788,Thornbury,3071,1/44 Swift Street,-37.762698,145.017616,2,1,apartment,2,2025-04-12,,,"$615,000"
property-apartment-vic-thornbury-147559892,Thornbury,3071,5/57 Pender Street,-37.753929,145.007476,1,1,apartment,1,2025-04-12,,,"$470,000"
property-unit-vic-thornbury-147146260,Thornbury,3071,2/55 Martin Street,-37.76118746,145.0046381,1,1,unit,1,2025-04-12,,,"$365,000"
property-house-vic-thornbury-147056264,Thornbury,3071,20 Dundas Street,-37.75265893,145.0034849,2,1,house,1,2025-04-11,,,"$860,000"
property-house-vic-thornbury-147562532,Thornbury,3071,29 Newman Street,-37.756875,144.986239,4,2,house,1,2025-04-10,334,m2,"$1,710,000"
property-apartment-vic-thornbury-147605248,Thornbury,3071,303/85 Hutton Street,-37.75538524,144.9935337,2,1,apartment,1,2025-04-10,,,"$600,000"
property-unit-vic-thornbury-147504108,Thornbury,3071,8/8 Murray Street,-37.75425522,144.9955827,1,1,unit,1,2025-04-10,,,"$332,000"
property-house-vic-thornbury-147560852,Thornbury,3071,27A Hobson Street,-37.7522373,144.9923183,3,1,house,2,2025-04-09,,,"$1,270,000"
property-house-vic-thornbury-146980556,Thornbury,3071,214 Dundas Street,-37.754742,145.022028,3,1,house,4,2025-04-09,690,m2,"$1,135,000"
property-house-vic-thornbury-147510836,Thornbury,3071,108 Hutton Street,-37.75456684,144.9887256,3,1,house,1,2025-04-05,,,"$1,493,000"
property-townhouse-vic-thornbury-147503568,Thornbury,3071,174B Gooch Street,-37.7593474,145.0122249,3,2,townhouse,2,2025-04-05,,,"$1,290,000"
property-apartment-vic-thornbury-147478864,Thornbury,3071,8/44 Keon Street,-37.75213537,144.9914848,1,1,apartment,1,2025-04-05,,,"$437,000"
property-apartment-vic-thornbury-147481036,Thornbury,3071,12/30 Strettle Street,-37.75259628,144.9831201,1,1,apartment,1,2025-04-03,,,"$369,500"
property-townhouse-vic-thornbury-147575032,Thornbury,3071,2/180 Dundas Street,-37.754445,145.019346,2,2,townhouse,1,2025-04-02,,,"$980,000"
property-house-vic-thornbury-147503268,Thornbury,3071,106 Collins Street,-37.755826,145.011988,4,2,house,3,2025-03-31,,,"$1,705,000"
property-townhouse-vic-thornbury-147431620,Thornbury,3071,3/42 Pender Street,-37.75414034,145.0054634,2,2,townhouse,1,2025-03-29,,,"$900,000"
property-apartment-vic-thornbury-147424640,Thornbury,3071,10/46 Clarendon Street,-37.76002773,145.0035781,2,1,apartment,1,2025-03-25,,,"$572,000"
property-apartment-vic-thornbury-147350804,Thornbury,3071,17/25-27 Martin Street,-37.76099284,145.002927,2,1,apartment,1,2025-03-19,,,"$567,000"
property-apartment-vic-thornbury-147322360,Thornbury,3071,17/5 Kemp Street,-37.76232281,144.9958249,1,1,apartment,1,2025-03-18,,,"$375,000"
property-apartment-vic-thornbury-147090976,Thornbury,3071,1B/42-44 Clarendon Street,-37.76001565,145.0033671,2,1,apartment,1,2025-03-17,,,"$610,000"
property-house-vic-thornbury-147290288,Thornbury,3071,75 Flinders Street,-37.756074,145.006953,4,2,house,2,2025-03-15,923,m2,"$2,500,000"
property-house-vic-thornbury-147310548,Thornbury,3071,325 Rossmoyne Street,-37.759421,145.023186,2,1,house,2,2025-03-15,470,m2,"$1,170,000"
property-townhouse-vic-thornbury-147096552,Thornbury,3071,1/180 Dundas Street,-37.754445,145.019346,3,2,townhouse,2,2025-03-09,,,"$1,300,000"
property-apartment-vic-thornbury-147307092,Thornbury,3071,8/337 Station Street,-37.763439,145.020961,2,1,apartment,1,2025-03-07,,,"$670,000"
property-apartment-vic-thornbury-147373352,Thornbury,3071,7/17 Kemp Street,-37.76221259,144.9948846,1,1,apartment,1,2025-03-05,,,"$420,100"
property-unit-vic-thornbury-145413212,Thornbury,3071,2/42 Dundas Street,-37.752878,145.005529,1,1,unit,1,2025-03-03,,,"$307,000"
property-house-vic-thornbury-147159416,Thornbury,3071,6 Harold Street,-37.756721,144.999898,3,1,house,2,2025-03-01,625,m2,"$1,630,000"
property-house-vic-thornbury-147166824,Thornbury,3071,77 Rennie Street,-37.75293597,144.9875398,2,1,house,1,2025-03-01,357,m2,"$1,415,000"
property-house-vic-thornbury-147042968,Thornbury,3071,314 Raleigh Street,-37.761331,145.02368,3,1,house,2,2025-02-28,,,"$1,009,000"
property-townhouse-vic-thornbury-147159232,Thornbury,3071,4/71 Miller Street,-37.75171276,144.9911653,2,2,townhouse,1,2025-02-27,,,"$830,000"
property-townhouse-vic-thornbury-147085204,Thornbury,3071,2/236 Collins Street,-37.7569744,145.023932,2,2,townhouse,1,2025-02-26,,,"$920,000"
property-apartment-vic-thornbury-147112580,Thornbury,3071,12/25 Kemp Street,-37.76214069,144.9942711,1,1,apartment,1,2025-02-26,,,"$375,000"
property-townhouse-vic-thornbury-146390840,Thornbury,3071,3/125 Darebin Road,-37.76409609,145.0108816,2,2,townhouse,1,2025-02-25,,,"$763,000"
property-apartment-vic-thornbury-147152964,Thornbury,3071,2/9 Hammond Street,-37.76328695,145.010258,1,1,apartment,1,2025-02-25,,,"$355,000"
property-apartment-vic-thornbury-147093212,Thornbury,3071,10/87A Clyde Street,-37.7615482,145.0130504,1,1,apartment,1,2025-02-24,,,"$321,000"
property-house-vic-thornbury-147100364,Thornbury,3071,48A Newman Street,-37.756512,144.985,2,1,house,1,2025-02-22,,,"$1,060,000"
property-apartment-vic-thornbury-147193056,Thornbury,3071,10/109 Flinders Street,-37.75653332,145.0113025,2,1,apartment,2,2025-02-21,,,"$744,000"
property-apartment-vic-thornbury-147050260,Thornbury,3071,4/109 Flinders Street,-37.75653332,145.0113025,3,1,apartment,2,2025-02-20,,,"$819,000"
property-apartment-vic-thornbury-146960444,Thornbury,3071,203/690 High Street,-37.7583438,145.0008682,1,1,apartment,1,2025-02-20,,,"$390,000"
property-house-vic-thornbury-147055048,Thornbury,3071,94 Collins Street,-37.755678,145.010732,3,1,house,2,2025-02-15,696,m2,"$1,910,000"
property-house-vic-thornbury-147037784,Thornbury,3071,89 Rennie Street,-37.752841,144.986916,3,1,house,1,2025-02-15,,,"$1,510,000"
property-unit-vic-thornbury-146727980,Thornbury,3071,10/14 Ballantyne Street,-37.75837533,144.9990778,1,1,unit,1,2025-02-13,,,"$365,000"
property-unit-vic-thornbury-147043160,Thornbury,3071,1/45 Collins Street,-37.75497368,145.0047088,2,1,unit,2,2025-02-08,,,"$737,000"
property-townhouse-vic-thornbury-146595292,Thornbury,3071,13 Ibis Place,-37.76096376,145.0265751,3,1,townhouse,1,2025-02-08,71,m2,"$730,000"
property-apartment-vic-thornbury-146960440,Thornbury,3071,6/16 Kemp Street,-37.76192107,144.9951383,2,1,apartment,1,2025-02-07,,,"$547,400"
property-residential land-vic-thornbury-204017812,Thornbury,3071,233A Gooch Street,-37.75968982,145.0184043,,,residential land,,2025-02-06,,,"$460,000"
property-apartment-vic-thornbury-146830172,Thornbury,3071,1/73 Flinders Street,-37.75605291,145.0067383,2,1,apartment,1,2025-02-05,,,"$550,000"
property-house-vic-thornbury-147055324,Thornbury,3071,6B Walsh Avenue,-37.757998,145.023769,3,2,house,2,2025-02-04,,,"$1,380,000"
property-townhouse-vic-thornbury-146360920,Thornbury,3071,2 Ibis Place,-37.76088042,145.0262631,3,2,townhouse,2,2025-01-31,,,"$785,000"
