URL,Suburb ,Postcode,Address,Latitude,Longitude,Bedroom,Bathroom ,Type ,Car Park space,Last sold date,Land size,Land size unit,Y = Sold price
property-apartment-vic-thornbury-143504116,Thornbury,3071,15/87A Clyde Street,-37.76157,145.013242,1.0,1.0,apartment,1.0,2023-12-21,,,"$299,000"
property-unitblock-vic-thornbury-143260140,Thornbury,3071,1-7/10 Murray Street,-37.754247,144.99539,9.0,7.0,unitblock,8.0,2023-12-20,762.0,m2,"$2,100,000"
property-unit-vic-thornbury-143127884,Thornbury,3071,10/33 Woolton Avenue,-37.761145,144.996169,1.0,1.0,unit,1.0,2023-12-17,,,"$332,000"
property-house-vic-thornbury-143698500,Thornbury,3071,40 Wales Street,-37.76305,145.009149,3.0,1.0,house,1.0,2023-12-16,,,"$1,115,000"
property-house-vic-thornbury-143725084,Thornbury,3071,1 Shaftesbury Parade,-37.760636,144.999645,2.0,1.0,house,1.0,2023-12-16,,,"$1,052,000"
property-unit-vic-thornbury-143719428,Thornbury,3071,403/681 High Street,-37.7602423,145.0001127,2.0,2.0,unit,2.0,2023-12-16,,,"$785,000"
property-apartment-vic-thornbury-143730040,Thornbury,3071,8/99 Ballantyne Street,-37.75785431,144.9923537,1.0,1.0,apartment,1.0,2023-12-15,,,"$310,000"
property-house-vic-thornbury-143678812,Thornbury,3071,94 Smith Street,-37.756771,144.992802,3.0,1.0,house,1.0,2023-12-13,425.0,m2,"$1,137,000"
property-apartment-vic-thornbury-141872732,Thornbury,3071,104/23-25  Clapham Street,-37.75527914,144.9978433,2.0,2.0,apartment,1.0,2023-12-13,,,"$670,000"
property-house-vic-thornbury-143642720,Thornbury,3071,117A Flinders Street,-37.756671,145.012431,4.0,2.0,house,4.0,2023-12-12,645.0,m2,"$1,500,000"
property-townhouse-vic-thornbury-143187688,Thornbury,3071,2/8 Ballantyne Street,-37.75842454,144.9994992,3.0,2.0,townhouse,2.0,2023-12-12,,,"$1,050,000"
property-house-vic-thornbury-143640592,Thornbury,3071,71D Pender Street,-37.754132,145.009366,2.0,1.0,house,2.0,2023-12-10,,,"$1,130,000"
property-unit-vic-thornbury-143641148,Thornbury,3071,10/95 Raleigh Street,-37.75924401,145.0066019,1.0,1.0,unit,1.0,2023-12-10,,,"$395,000"
property-house-vic-thornbury-143634852,Thornbury,3071,13 Normanby Avenue,-37.759516,144.998949,3.0,1.0,house,2.0,2023-12-09,349.0,m2,"$1,480,000"
property-unit-vic-thornbury-143249488,Thornbury,3071,5/112 Dundas Street,-37.75409552,145.0133771,3.0,2.0,unit,2.0,2023-12-07,,,"$820,000"
property-house-vic-thornbury-143526128,Thornbury,3071,16 Bradley Avenue,-37.761013,144.991042,2.0,1.0,house,2.0,2023-12-06,439.0,m2,"$1,302,500"
property-apartment-vic-thornbury-143315276,Thornbury,3071,6/14 Kemp Street,-37.76196,144.995364,2.0,1.0,apartment,1.0,2023-12-06,,,"$542,000"
property-apartment-vic-thornbury-143507356,Thornbury,3071,4/16-18 Kemp Street,-37.76192107,144.9951383,2.0,1.0,apartment,1.0,2023-12-04,,,"$530,000"
property-house-vic-thornbury-143565604,Thornbury,3071,34 Normanby Avenue,-37.759012,144.996851,3.0,2.0,house,1.0,2023-12-02,,,"$1,370,000"
property-townhouse-vic-thornbury-143590728,Thornbury,3071,4/59 Miller Street,-37.75159316,144.9918712,3.0,2.0,townhouse,1.0,2023-12-02,,,"$1,160,000"
property-apartment-vic-thornbury-143240356,Thornbury,3071,2/39 Rossmoyne Street,-37.7573362,145.0037624,1.0,1.0,apartment,1.0,2023-12-01,,,"$325,000"
property-house-vic-thornbury-143254312,Thornbury,3071,69 Smith Street,-37.757287,144.995047,3.0,1.0,house,,2023-11-27,331.0,m2,"$1,630,000"
property-apartment-vic-thornbury-143496308,Thornbury,3071,11/5 Kemp Street,-37.76232281,144.9958249,1.0,1.0,apartment,1.0,2023-11-26,,,"$410,000"
property-house-vic-thornbury-143527616,Thornbury,3071,25 Plow Street,-37.75447,145.000072,3.0,1.0,house,1.0,2023-11-25,,,"$1,670,000"
property-house-vic-thornbury-143526540,Thornbury,3071,215 Raleigh Street,-37.760276,145.016171,3.0,1.0,house,2.0,2023-11-25,469.0,m2,"$1,405,000"
property-unit-vic-thornbury-143588132,Thornbury,3071,19/5 Kemp Street,-37.76232281,144.9958249,1.0,1.0,unit,1.0,2023-11-23,,,"$370,000"
property-unit-vic-thornbury-143570312,Thornbury,3071,2/34 Ethel Street,-37.75372848,144.9996068,2.0,1.0,unit,2.0,2023-11-22,,,"$767,000"
property-unit-vic-thornbury-143586268,Thornbury,3071,5/9 Jones Street,-37.75763279,145.0227539,2.0,1.0,unit,1.0,2023-11-22,,,"$765,000"
property-townhouse-vic-thornbury-143072832,Thornbury,3071,3/63 Alston Street,-37.75545569,145.022076,2.0,1.0,townhouse,1.0,2023-11-21,,,"$785,000"
property-apartment-vic-thornbury-143654524,Thornbury,3071,10/11 Kemp Street,-37.76223943,144.9953114,2.0,1.0,apartment,1.0,2023-11-21,,,"$530,000"
property-villa-vic-thornbury-143431388,Thornbury,3071,1/8-10 Martin Street,-37.761114,145.00121,1.0,1.0,villa,2.0,2023-11-19,,,"$602,000"
property-house-vic-thornbury-143101000,Thornbury,3071,320 Gillies Street,-37.76379,145.019324,4.0,2.0,house,3.0,2023-11-18,536.0,m2,"$2,600,000"
property-house-vic-thornbury-143265908,Thornbury,3071,272 Raleigh Street,-37.760823,145.018688,4.0,4.0,house,2.0,2023-11-18,,,"$2,130,000"
property-house-vic-thornbury-143454684,Thornbury,3071,80 Smith Street,-37.75700216,144.9947036,4.0,1.0,house,3.0,2023-11-18,615.0,m2,"$2,020,000"
property-townhouse-vic-thornbury-143458888,Thornbury,3071,1/66 Hammond Street,-37.7641051,145.0152773,3.0,1.0,townhouse,2.0,2023-11-18,,,"$1,110,000"
property-unit-vic-thornbury-143441380,Thornbury,3071,3/73 Darebin Road,-37.76336632,145.0053296,2.0,1.0,unit,1.0,2023-11-18,,,"$625,000"
